point_name_ja	point_name_en	point_type	prec_no	block_no
北海道稚内	Hokkaido_Wakkanai	s1	11	47401
北海道沓形	Hokkaido_Kutsugata	a1	11	0002
北海道浜頓別	Hokkaido_Hamatonbetsu	a1	11	0003
北海道北見枝幸	Hokkaido_Kitami-Esashi	s1	11	47402
北海道歌登	Hokkaido_Utanobori	a1	11	0005
北海道中頓別	Hokkaido_Nakatonbetsu	a1	11	1051
北海道豊富	Hokkaido_Toyotomi	a1	11	1054
北海道沼川	Hokkaido_Numakawa	a1	11	1203
北海道船泊	Hokkaido_Funadomari	a1	11	1207
北海道宗谷岬	Hokkaido_Cape_Soya	a1	11	1284
北海道浜鬼志別	Hokkaido_Hamaoni-Shibetsu	a1	11	1285
北海道本泊	Hokkaido_Motodomari	a1	11	1512
北海道声問	Hokkaido_Koetoi	a1	11	1528
北海道礼文	Hokkaido_Rebun	a1	11	1546
北海道幌泊	Hokkaido_Horodomari	a1	11	1593
北海道幌延	Hokkaido_Horonobe	a1	11	1573
北海道礼文上泊埼	Hokkaido_Rebunuedomarisaki	a1	11	1656
北海道美深	Hokkaido_Bifuka	a1	12	0006
北海道ピヤシリ山	Hokkaido_Mt.Piyashiri	a1	12	0007
北海道名寄	Hokkaido_Nayoro	a1	12	0008
北海道西風連	Hokkaido_Nishi-Furen	a1	12	0009
北海道下川	Hokkaido_Shimokawa	a1	12	0010
北海道士別	Hokkaido_Shibetsu	a1	12	0011
北海道犬牛別峠	Hokkaido_Inuushibetutoge	a1	12	0012
北海道雄鷹峰	Hokkaido_Tokatamine	a1	12	0013
北海道蓬莱山	Hokkaido_Horaizan	a1	12	0014
北海道上川	Hokkaido_Kamikawa	a1	12	0015
北海道旭川	Hokkaido_Asahikawa	s1	12	47407
北海道瑞穂	Hokkaido_Mizuho	a1	12	0017
北海道終沢	Hokkaido_Owarizawa	a1	12	0018
北海道旭岳	Hokkaido_Asahidake	a1	12	0019
北海道白金	Hokkaido_Shirogane	a1	12	0020
北海道富良野	Hokkaido_Furano	a1	12	0021
北海道前富良野岳	Hokkaido_Maefuranodake	a1	12	0022
北海道前時雨山	Hokkaido_Maeshigureyama	a1	12	0023
北海道朝日	Hokkaido_Asahi	a1	12	1047
北海道比布	Hokkaido_Pippu	a1	12	1048
北海道層雲峡	Hokkaido_Sounkyo	a1	12	1049
北海道美瑛	Hokkaido_Biei	a1	12	1052
北海道和寒	Hokkaido_Wassamu	a1	12	1055
北海道東川	Hokkaido_Higashikawa	a1	12	1184
北海道志比内	Hokkaido_Shibinai	a1	12	1185
北海道幾寅	Hokkaido_Ikutora	a1	12	1188
北海道占冠	Hokkaido_Shimukappu	a1	12	1189
北海道上富良野	Hokkaido_Kami-Furano	a1	12	1190
北海道江丹別	Hokkaido_Etanbetsu	a1	12	1191
北海道音威子府	Hokkaido_Otoineppu	a1	12	1197
北海道中川	Hokkaido_Nakagawa	a1	12	1201
北海道麓郷	Hokkaido_Rokugo	a1	12	1280
北海道東神楽	Hokkaido_Higashi-Kagura	a1	12	1458
北海道小車	Hokkaido_Oguruma	a1	12	1570
北海道剣淵	Hokkaido_Kenbuchi	a1	12	1572
北海道金山	Hokkaido_Kanayama	a1	12	1574
北海道幌加内	Hokkaido_Horokanai	a1	12	1053
北海道朱鞠内	Hokkaido_Shumarinai	a1	12	1279
北海道天塩	Hokkaido_Teshio	a1	13	0024
北海道遠別	Hokkaido_Enbetsu	a1	13	0025
北海道羽幌	Hokkaido_Haboro	s1	13	47404
北海道留萌	Hokkaido_Rumoi	s1	13	47406
北海道増毛	Hokkaido_Mashike	a1	13	0028
北海道古丹別	Hokkaido_Kotanbetsu	a1	13	1112
北海道焼尻	Hokkaido_Yagishiri	a1	13	1213
北海道初山別	Hokkaido_Shosanbetsu	a1	13	1216
北海道達布	Hokkaido_Tappu	a1	13	1217
北海道幌糠	Hokkaido_Horonuka	a1	13	1218
北海道阿曽岩	Hokkaido_Asoiwa	a1	14	0029
北海道新篠津	Hokkaido_Shinshinotsu	a1	14	0030
北海道山口	Hokkaido_Yamaguchi	a1	14	0031
北海道手稲山	Hokkaido_Mt.Teine	a1	14	0032
北海道札幌	Hokkaido_Sapporo	s1	14	47412
北海道小金湯	Hokkaido_Koganeyu	a1	14	0034
北海道恵庭島松	Hokkaido_Eniwa-Shimamatsu	a1	14	0035
北海道島松山	Hokkaido_Mt.Shimamatsu	a1	14	0036
北海道支笏湖畔	Hokkaido_Lake-shore_Shikotsu	a1	14	0037
北海道西野幌	Hokkaido_Nishinoppo	a1	14	1076
北海道石狩	Hokkaido_Ishikari	a1	14	1085
北海道浜益	Hokkaido_Hamamasu	a1	14	1193
北海道厚田	Hokkaido_Atsuta	a1	14	1194
北海道千歳	Hokkaido_Chitose	a1	14	1459
北海道江別	Hokkaido_Ebetsu	a1	14	1507
北海道石狩沼田	Hokkaido_Ishikari-Numata	a1	15	0038
北海道深川	Hokkaido_Fukagawa	a1	15	0039
北海道常盤山	Hokkaido_Mt.Tokiwa	a1	15	0040
北海道滝川	Hokkaido_Takikawa	a1	15	0041
北海道神威岳	Hokkaido_Kamoidake	a1	15	0042
北海道芦別	Hokkaido_Ashibetsu	a1	15	0043
北海道美唄	Hokkaido_Bibai	a1	15	0044
北海道岩見沢	Hokkaido_Iwamizawa	s1	15	47413
北海道下桂沢	Hokkaido_Shimokatsurazawa	a1	15	0046
北海道長沼	Hokkaido_Naganuma	a1	15	0047
北海道丁未山	Hokkaido_Teimiyama	a1	15	0048
北海道夕張	Hokkaido_Yubari	a1	15	0049
北海道登川山	Hokkaido_Noborikawayama	a1	15	0050
北海道月形	Hokkaido_Tsukigata	a1	15	0999
北海道栗沢	Hokkaido_Kurisawa	a1	15	1068
北海道晩生内	Hokkaido_Osokinai	a1	15	1270
北海道桜山	Hokkaido_Sakurayama	a1	15	1271
北海道空知吉野	Hokkaido_Sorachi-Yoshino	a1	15	1287
北海道浦臼	Hokkaido_Urausu	a1	15	1400
北海道鹿島	Hokkaido_Kashima	a1	15	1401
北海道沼の沢	Hokkaido_Numanosawa	a1	15	1402
北海道新城	Hokkaido_Shinjo	a1	15	1419
北海道赤平	Hokkaido_Akabira	a1	15	1566
北海道雨竜	Hokkaido_Uryu	a1	15	1567
北海道秩父別	Hokkaido_Chippubetsu	a1	15	1674
北海道美国	Hokkaido_Bikuni	a1	16	0051
北海道余市	Hokkaido_Yoichi	a1	16	0052
北海道小樽	Hokkaido_Otaru	s1	16	47411
北海道共和	Hokkaido_Kyowa	a1	16	0054
北海道蘭越	Hokkaido_Rankoshi	a1	16	0055
北海道倶知安	Hokkaido_Kutchan	s1	16	47433
北海道脇方台地	Hokkaido_Wakikatadaichi	a1	16	0057
北海道寿都	Hokkaido_Suttsu	s1	16	47421
北海道桂台	Hokkaido_Katsuradai	a1	16	0059
北海道喜茂別	Hokkaido_Kimobetsu	a1	16	0060
北海道黒松内	Hokkaido_Kuromatsunai	a1	16	0061
北海道真狩	Hokkaido_Makkari	a1	16	1072
北海道赤井川	Hokkaido_Akaigawa	a1	16	1091
北海道神恵内	Hokkaido_Kamoenai	a1	16	1208
北海道ニセコ	Hokkaido_Niseko	a1	16	1615
北海道雄武	Hokkaido_Omu	s1	17	47405
北海道興部	Hokkaido_Okoppe	a1	17	0063
